indicator,pearson_r,chi_p,chi_sig,wr_top25,wr_bot25,wr_diff,combined_score,top25_mean,bot25_mean
ex_supertrend_distance_pct,-0.028890477603679673,0.07173582184427377,False,0.3034188034188034,0.2606837606837607,0.042735042735042694,0.32133443091585595,1037466908698.5957,-8.736361400951887
ex_vortex_minus,0.054600977855800516,0.17266470184138905,False,0.28936170212765955,0.2264957264957265,0.06286597563193305,0.3148736633098699,1.2162573270139558,0.8343742318381061
ex_kst_signal,-0.06138005614888945,0.1601384480032866,False,0.29914529914529914,0.3504273504273504,-0.051282051282051266,0.31139812346932183,171.17053534911565,-124.86187580719408
ex_vortex_plus,-0.05172957563866007,0.20806421057759594,False,0.21367521367521367,0.2863247863247863,-0.07264957264957264,0.31121926763797736,1.143712053852095,0.8074151895345273
ex_minus_di,0.0399292252340884,0.2835890363521179,False,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.2884405182030527,29.76686424703854,11.225237144040005
ex_stoch_d,-0.07768397731117295,0.333290907481534,False,0.20085470085470086,0.2777777777777778,-0.07692307692307693,0.28485638248735323,76.3419048367969,12.8938897470353
ex_psar,-0.10686684095342255,0.4111869751648811,False,0.19230769230769232,0.2863247863247863,-0.09401709401709399,0.2839176349502376,0.5268194457552234,0.004696682949362591
ex_ad_slope_norm,-0.06087314543400607,0.4111869751648811,False,0.19658119658119658,0.2863247863247863,-0.08974358974358973,0.26670072287560925,0.04997102802994341,-0.09290831392474509
ex_obv_slope_norm,-0.02689343173745709,0.20806421057759594,False,0.25213675213675213,0.27350427350427353,-0.021367521367521403,0.2627427834419755,0.11889118360976704,-0.12980838197574732
ex_eom,-0.005020248304026736,0.20806421057759594,False,0.2606837606837607,0.28205128205128205,-0.021367521367521347,0.2561808284119463,6.289571084714579,-1.8073400621684006
ex_stoch_score,0.06668169528722906,0.34552041710151316,False,0.3107569721115538,0.2642857142857143,0.046471257825839496,0.2535253897163864,67.94820717131473,41.857142857142854
ex_uo_score,0.03454407321186699,0.2155267658304123,False,0.2838427947598253,0.28052805280528054,0.0033147419545447865,0.24835698577807222,50.52401746724891,49.625962596259626
ex_mfi_score,-0.003949573393578985,0.22986833776178617,False,0.28760529482551145,0.2864321608040201,0.0011731340214913288,0.2331628779067309,52.37063778580024,48.07788944723618
ex_kst_score,-0.036835038004072104,0.3687461123826239,False,0.2668067226890756,0.29605263157894735,-0.02924590888987172,0.22382340479833185,67.2373949579832,35.0
ex_kst_crossover,-0.03181168835441178,0.3687461123826239,False,0.2668067226890756,0.29540481400437635,-0.028598091315300722,0.22179814584377697,1.0,0.0
ex_supertrend_bullish,-0.033190209484098926,0.35520185331834175,False,0.27309782608695654,0.2808145766345123,-0.007716750547555773,0.20956990728777178,1.0,0.7888531618435155
ex_supertrend_score,-0.033190209484098704,0.35520185331834175,False,0.27309782608695654,0.2808145766345123,-0.007716750547555773,0.20956990728777172,70.0,61.554126473740624
ex_ao_score,-0.034941202147418235,0.3984336316868059,False,0.26814516129032256,0.2713178294573643,-0.003172668167041759,0.1934904056718171,66.95564516129032,50.0
ex_adx,-0.05490682684487697,0.7004545113638543,False,0.2564102564102564,0.3247863247863248,-0.06837606837606841,0.16103654934516154,44.411366769774155,14.019357861889867
ex_aroon_up,0.0050612286685367755,0.6630019591896705,False,0.2827868852459016,0.2720306513409962,0.010756233904905432,0.11122276796758422,88.24590163934427,1.946360153256705
ex_psar_above,0.014483432813973091,0.7121822953473895,False,0.286527514231499,0.2733990147783251,0.013128499453173903,0.10119314080251418,1.0,0.0
ex_mass_index,-0.024561373330147872,0.7004545113638543,False,0.24358974358974358,0.24358974358974358,0.0,0.09723205858988808,27.47962665243076,22.62640086792908
