symbol,label,composite_v1,peak,dd,final,pattern_score,patterns,rsi_value,rsi_divergence,macd_hist,macd_divergence,ema_alignment,rvol,volume_spike,vwap_distance_pct,price_above_vwap,atr_pct,atr_expanding,bb_squeeze,bb_breakout_above,momentum_1_pct,momentum_3_pct,momentum_6_pct,momentum_12_pct,momentum_acceleration,higher_highs,higher_lows,bos_up,in_range,candle_strength,big_wick_top,power_streak,mtf_alignment,btc_state,btc_momentum_12_pct
BTCUSDT,0,42.605004071207254,0.4134733285521156,-0.2433976039909877,0.09046911260870764,0.0,[],49.54020365821124,0.0,-158.3872140495135,0.0,0.0,0.403,0.0,-0.9473346586054633,0.0,1.012815813920764,0.0,1.0,0.0,-0.45316635233075503,-0.4490398765072911,-0.9077171139472975,-1.3352172251060137,0.011706294972138598,0.0,1.0,0.0,1.0,0.455398176939338,0.0,0.0,0.5694639253023739,1.0,2.205346140478376
BTCUSDT,0,47.66981019364809,0.7536231884057971,-0.38452818035427405,0.6137713365539482,0.0,[],52.35665668353437,0.0,-140.45960404983862,0.0,0.0,0.448,0.0,-0.36783638964174137,0.0,0.9278505654224672,0.0,1.0,0.0,0.38148196042932886,-0.07374911321485708,0.2426226595204014,-0.808191218039634,-0.39035437952641194,0.0,1.0,0.0,1.0,0.5396391246875163,0.0,1.0,0.8017074751916837,1.0,2.205346140478376
BTCUSDT,0,50.18233537889709,0.5089079700747224,-0.42576085563425264,0.1518900860189864,0.0,[],56.48001608683166,0.0,-85.34298561427892,0.0,0.0,0.753,0.0,0.37543189982048997,1.0,0.896646371398042,0.0,1.0,0.0,0.9073746818807462,0.9990042674253186,0.7759236698073576,0.5897899647612311,1.2198783237945159,0.0,0.0,0.0,1.0,0.7470319992292508,0.0,1.0,0.5752667514304334,1.0,2.205346140478376
BTCUSDT,0,48.72049359561879,1.8407156838288221,-0.2605671130401686,1.3536369913307014,0.0,[],55.846355910095276,0.0,-32.76109874444995,0.0,0.0,0.65,0.0,0.31869727807923565,1.0,0.8345600923041553,0.0,1.0,0.0,-0.06715625217665268,0.8382017518813307,0.929429178176836,0.013275476517207672,0.7477326392726231,0.0,0.0,0.0,1.0,0.5309061017157188,0.0,0.0,0.8185034058551779,1.0,2.205346140478376
BTCUSDT,0,55.918353267813046,1.0540762339563472,-1.5148007381457809,-1.0327048414912783,0.0,[],61.433648623533486,0.0,28.947154805618084,0.0,0.0,1.596,0.0,1.028469125095246,1.0,0.8691362482553611,0.0,1.0,1.0,0.5566140926572802,0.7107551410063637,1.3288888888888926,1.5747357339735875,0.0969838044524155,0.0,0.0,0.0,1.0,0.46471839945648447,0.0,0.0,0.8477962930910516,1.0,2.205346140478376
BTCUSDT,0,51.55129448660121,0.8488325540395475,-1.47790284304464,-0.9413891268769853,0.0,[],48.70628773618414,0.0,7.516807132091458,0.0,0.0,2.239,1.0,-0.48976148882576,0.0,1.0081429211826947,0.0,1.0,0.0,-1.8948115990432632,-0.7856825442118308,-0.634985832085084,0.13601083235120226,-0.9375726302308172,0.0,0.0,0.0,1.0,0.5266430903894833,0.0,0.0,0.3343698482144519,1.0,2.205346140478376
BTCUSDT,0,45.06734585727692,0.891877004574622,-0.43423172133955573,0.02875258323988378,0.0,[],42.495774937818034,-1.0,-113.42608084669797,-1.0,0.0,2.277,1.0,-1.4370775283845303,0.0,1.0735223437519108,0.0,1.0,0.0,-1.350337198914845,-2.923172588906281,-1.6091047430594543,-0.6946310538720405,-4.276809580236982,0.0,0.0,0.0,1.0,0.49318084720347766,0.0,0.0,0.23746846734465304,1.0,2.205346140478376
BTCUSDT,0,44.42857460177284,0.13788054798598887,-1.6042378493736453,-1.4764127069306907,0.0,[],47.883009670803034,0.0,-150.97099953436822,-1.0,0.0,0.841,0.0,-0.5175442383149235,0.0,1.0221600101013373,0.0,1.0,0.0,0.6442972261437765,-0.607546400980609,-1.6339770813746546,-0.3268019323671407,0.4251584405106693,0.0,0.0,0.0,1.0,0.5712241743198804,0.0,1.0,0.24940048217391575,1.0,2.205346140478376
BTCUSDT,0,49.39836381179918,0.16760042497797303,-1.577382098271463,-0.7131960653117497,0.0,[],44.22576315157416,0.0,-177.07154737501577,-1.0,0.0,1.741,0.0,-1.024140795378128,0.0,1.0239576520816476,0.0,1.0,0.0,0.0834470478361254,0.004253602651859891,-0.9371755671779904,-1.5662104671897312,0.9456427295288452,0.0,0.0,0.0,1.0,0.5308532586881402,0.0,0.0,0.2603394631321223,1.0,2.205346140478376
BTCUSDT,0,47.651163805535,1.3951631976128216,-0.24332697879496093,1.2205130861378146,0.0,[],38.39014289141655,0.0,-232.8600254308122,-1.0,0.0,1.956,0.0,-1.7763648776829497,0.0,1.0396398559565079,0.0,0.0,0.0,-0.21334400293852035,-0.9748203415002057,-0.9463480442904512,-2.5402250560833775,-1.0035729247400895,0.0,0.0,0.0,1.0,0.38511341175895164,0.0,0.0,0.4844151209767743,1.0,2.205346140478376
BTCUSDT,0,27.33467181657207,2.0398002325563906,-0.20303166887971186,1.633776191249007,0.0,[],41.402760009094315,0.0,-193.7918493395398,0.0,0.0,0.453,0.0,-1.3235890458147614,0.0,0.9631775898612699,0.0,0.0,0.0,0.015445891039271537,0.14924766165108302,-1.3293685567210212,-2.9416240605518533,1.6256603685817737,0.0,0.0,0.0,1.0,0.4551018359579132,1.0,0.0,0.23821204174579053,1.0,2.205346140478376
BTCUSDT,0,34.47388209585947,1.0984166354762674,-2.7413240957857328,-1.935573712027093,0.0,[],48.88150092256911,0.0,-72.2664383190444,0.0,0.0,1.473,0.0,-0.344026122182489,0.0,0.957101153939892,0.0,0.0,0.0,0.07645973875887328,0.9467453450748352,0.22679712921348977,-0.7125039252465507,1.659941410386585,0.0,0.0,0.0,1.0,0.41840058288261917,1.0,0.0,0.3148382022037476,1.0,2.205346140478376
BTCUSDT,0,47.84671302454106,0.723684678497163,-1.2834110906761498,0.016386605872888847,0.0,[],40.41577040971364,0.0,-57.75187443656287,0.0,0.0,2.403,1.0,-1.6748796093895446,0.0,1.0966068880910977,0.0,0.0,0.0,-2.1579831638184364,-1.4015367537301566,-0.19812960707864968,-1.1426026557073516,-2.6220498398679712,0.0,0.0,0.0,1.0,0.44076294462047366,0.0,0.0,0.5089800719052742,1.0,2.205346140478376
BTCUSDT,0,27.296504717993813,0.9040117318569157,-0.6021774349666735,0.36875169817254894,0.0,[],40.369919912849554,0.0,-125.00200036348332,0.0,0.0,0.618,0.0,-1.6050474603105431,0.0,1.1178096516725264,0.0,0.0,0.0,0.288212851371074,-2.3328380807639597,-0.7371752426588645,-2.0567440234960466,-3.9666142720129667,0.0,0.0,0.0,1.0,0.43087792146015913,1.0,0.0,0.11113928963080227,1.0,2.205346140478376
BTCUSDT,0,42.89467172507679,0.6663195103678096,-0.37470296734604347,0.32975909401133613,0.0,[],44.18932592524549,0.0,-84.36162621300531,0.0,0.0,0.731,0.0,-0.8699852236233709,0.0,1.123757683095649,0.0,0.0,0.0,0.307606801697919,0.7933198354044926,-1.1576091668089865,-0.9334374619533317,2.7288935474315856,0.0,0.0,0.0,1.0,0.4494099520313999,0.0,0.0,0.1959389849947598,1.0,2.205346140478376
BTCUSDT,0,48.45997879662757,1.2816579839316966,-0.47415055653193494,0.8597476776299218,0.0,[],47.626499188546376,0.0,-19.755169064260485,0.0,0.0,1.243,0.0,-0.10538234685662387,0.0,1.0635593323877113,0.0,0.0,0.0,0.5445347144989291,0.7184428426366523,0.734947176906586,0.5353614218740956,0.7020562367637634,0.0,0.0,0.0,1.0,0.5364147668442927,0.0,0.0,0.445969654701557,1.0,2.205346140478376
BTCUSDT,0,42.74826641506819,1.6417633431338081,-0.034251702466802016,1.463588999479602,0.0,[],46.4264215013088,0.0,24.696004796356988,0.0,0.0,0.356,0.0,-0.1328286725408958,0.0,0.9876052550497841,0.0,1.0,0.0,-0.08668703585169907,0.3775205783162114,0.7476643900322522,0.004977550591893522,0.00876888014366245,0.0,0.0,0.0,1.0,0.46947647489031685,0.0,0.0,0.430427322401712,1.0,2.205346140478376
BTCUSDT,0,47.88191362303948,2.312404099283607,-0.10702633392346211,1.5939987462814564,0.0,[],54.34200436809852,0.0,123.31892918850667,0.0,0.0,1.072,0.0,0.8725286033867037,1.0,0.9703982841467229,0.0,1.0,0.0,-0.0006871419407051422,0.9392927704137635,1.27214926775493,0.09981358440691898,0.6095336764024273,0.0,0.0,0.0,1.0,0.457542428979176,0.0,0.0,0.6650415808053042,1.0,2.205346140478376
