symbol,long_score,short_score,peak,dd,pump_5,pump_10,dump_5,dump_10
HYPERUSDT,22.27240623728137,5.0,3.8748137108792715,-0.8941877794336859,0,0,0,0
HYPERUSDT,25.45032708609415,17.0,3.2023289665211174,-0.14556040756914537,0,0,0,0
HYPERUSDT,16.437794283855556,36.0,2.8735632183908075,-0.2873563218390688,0,0,0,0
HYPERUSDT,21.152080344332916,42.0,0.4249291784702671,-2.8328611898017027,0,0,0,0
TLMUSDT,81.0,12.0,2.988419872992147,-16.32424355621966,0,0,1,1
TLMUSDT,25.902936976818182,20.0,42.67799352750811,-3.1148867313915782,1,1,0,0
TLMUSDT,15.0,17.0,14.393939393939398,-6.969696969696974,1,1,1,0
TLMUSDT,22.0,0.0,35.35162409334593,-7.883948281299282,1,1,1,0
TLMUSDT,28.0,9.0,0.48240635641316937,-15.351872871736658,0,0,1,1
TLMUSDT,15.0,21.0,3.184532271822567,-25.675291441569527,0,0,1,1
TLMUSDT,68.0,12.0,5.524025728339003,-6.621263715474831,1,0,1,0
TLMUSDT,24.508473968096354,17.0,11.347248576850086,-12.67552182163188,1,1,1,1
TLMUSDT,23.0,9.0,1.209829867674855,-10.472589792060504,0,0,1,1
TLMUSDT,3.0,27.740773738135253,0.31583103039872723,-11.764705882352944,0,0,1,1
TLMUSDT,13.0,28.0,2.041702867072119,-7.298001737619451,0,0,1,0
TLMUSDT,0.0,61.0,0.23062730627307335,-10.470479704797038,0,0,1,1
TLMUSDT,71.0,42.0,2.0242914979757143,-7.995951417004046,0,0,1,0
TLMUSDT,53.0,15.0,7.756376887037993,-6.194690265486724,1,0,1,0
TLMUSDT,49.0,43.0,5.885588558855892,-3.245324532453247,1,0,0,0
WCTUSDT,18.20666500879138,36.89253107344629,0.06560244915810681,-5.598075661491362,0,0,1,0
WCTUSDT,33.73009035398245,14.088769092542634,0.8405270331667476,-1.4311676510676936,0,0,0,0
WCTUSDT,21.0,33.83976024463233,2.356139555958313,-1.812415043044862,0,0,0,0
WCTUSDT,24.0,11.947012458814742,3.022670025188921,-1.694527135333175,0,0,0,0
WCTUSDT,24.361050781672866,8.862982005141395,2.3852385238523817,-1.2151215121512124,0,0,0,0
WCTUSDT,28.756986429455115,43.79613615455385,2.672605790645879,-2.9175946547884313,0,0,0,0
WCTUSDT,29.616521551843643,29.915643747115787,3.347658900701204,-3.1214657317349,0,0,0,0
WCTUSDT,42.97000824328294,27.5,4.122550123901776,-2.613201171435011,0,0,0,0
WCTUSDT,29.157643355314924,29.99026963657679,0.1593806921675788,-2.4362477231329724,0,0,0,0
WCTUSDT,16.0,26.803727720445426,3.0896933364076573,-0.5072630850818491,0,0,0,0
WCTUSDT,22.243018154581396,17.029881796690262,1.928749716360344,-0.27229407760380103,0,0,0,0
WCTUSDT,11.0,39.80819981750855,2.775270758122748,-0.3610108303249107,0,0,0,0
WCTUSDT,11.0,33.99888782222206,0.5823068309070467,-1.321388577827548,0,0,0,0
WCTUSDT,27.792470936774446,11.36180206086749,2.2287257991895495,-0.47276001800990963,0,0,0,0
WCTUSDT,11.0,20.658156772644304,1.7996000888691361,-1.9329037991557492,0,0,0,0
RECALLUSDT,26.10463802196829,22.60547778454046,0.4742145820984008,-2.163604030823952,0,0,0,0
RECALLUSDT,29.57357555665038,13.758164805312399,0.870609426598615,-2.7018913239267426,0,0,0,0
RECALLUSDT,16.0,56.23366971275757,2.5374503210027433,-1.1922959339651527,0,0,0,0
RECALLUSDT,39.0,12.088146084803462,2.0596372579157607,-2.858899477405472,0,0,0,0
RECALLUSDT,27.65163342339833,18.20422885572142,2.3838630806846055,-2.231051344743281,0,0,0,0
RECALLUSDT,25.94885265681514,62.0,0.495356037151704,-1.9504643962848467,0,0,0,0
RECALLUSDT,3.0,61.66072897089992,0.0,-6.1180124223602474,0,0,1,0
RECALLUSDT,39.520939161252215,30.0,6.335728282168509,-1.0450685826257375,1,0,0,0
RECALLUSDT,48.0,32.0,1.2535255405828818,-1.0028204324663141,0,0,0,0
RECALLUSDT,44.0,37.435488107780785,5.9612983770287205,-0.2808988764044938,1,0,0,0
RECALLUSDT,57.0,6.255395745295404,2.975653742110002,-1.7733694018635413,0,0,0,0
RECALLUSDT,54.75,0.0,3.321256038647355,-0.9057971014492594,0,0,0,0
RECALLUSDT,73.64813503947727,0.0,3.4914950760967005,-0.9847806624888003,0,0,0,0
RECALLUSDT,43.536919484151994,21.0,0.7485029940119767,-1.1377245508981988,0,0,0,0
RECALLUSDT,50.75,0.0,3.277209861695733,-0.9921828021647533,0,0,0,0
GROVEUSDT,12.0,15.0,6.041231197999916,-12.799704905938771,1,0,1,1
GROVEUSDT,41.0,0.0,4.41234405778069,-4.666228934121256,0,0,0,0
GROVEUSDT,30.0,16.0,10.651127210547635,-4.184853530126447,1,1,0,0
GROVEUSDT,24.79320117376792,0.0,6.317922269294537,-4.079941057284941,1,0,0,0
GROVEUSDT,8.0,33.0,3.028317341446299,-1.3948045869412575,0,0,0,0
GROVEUSDT,4.0,27.0,6.203555639168473,-3.9601166400150456,1,0,0,0
GROVEUSDT,3.0,33.0,3.5012285012285114,-6.789831789831778,0,0,1,0
GROVEUSDT,38.77007149698568,0.0,4.383190239493893,-7.531254707034199,0,0,1,0
GROVEUSDT,25.0,16.0,0.39637291632730715,-1.8081120703697668,0,0,0,0
GROVEUSDT,18.0,29.0,5.254255783500647,-13.97315582714972,1,0,1,1
GROVEUSDT,18.96082063445423,13.0,7.478470111448822,-4.337639311043565,1,0,0,0
GROVEUSDT,22.840938100650746,17.0,6.690507152145647,-20.026007802340697,1,0,1,1
GROVEUSDT,30.308087696027044,5.0,7.16607336325646,-3.4669555796316267,1,0,0,0
GROVEUSDT,18.0,20.758281721094612,13.430568216347618,-0.07596475235490423,1,1,0,0
GROVEUSDT,22.0,15.494045477198929,3.0377610575908873,-10.983756416567044,0,0,1,1
RESOLVUSDT,25.0,6.829805992498109,4.830917874396139,-1.4492753623188317,0,0,0,0
RESOLVUSDT,34.0,20.12602397602401,10.648148148148147,-1.8518518518518565,1,1,0,0
RESOLVUSDT,16.0,40.547405900305236,4.291845493562221,-4.291845493562235,0,0,0,0
RESOLVUSDT,18.221967713787055,36.65674623767513,3.1249999999999964,-7.142857142857147,0,0,1,0
RESOLVUSDT,11.0,0.1189595008988924,6.986899563318781,-1.7467248908296988,1,0,0,0
RESOLVUSDT,7.0,0.0,7.52212389380531,-2.654867256637168,1,0,0,0
RESOLVUSDT,33.588914353620225,18.9415584415584,2.7027027027027017,-3.1531531531531654,0,0,0,0
RESOLVUSDT,37.876246913580246,5.450980392156933,4.0540540540540455,-4.954954954954956,0,0,0,0
RESOLVUSDT,33.5,22.839506172839485,2.7027027027027017,-3.6036036036036125,0,0,0,0
RESOLVUSDT,17.075479355886163,5.0,9.767441860465123,-0.46511627906976466,1,0,0,0
RESOLVUSDT,43.75,5.0,3.043478260869562,-3.9130434782608607,0,0,0,0
RESOLVUSDT,40.0,15.873622047244158,0.8968609865470798,-4.035874439461891,0,0,0,0
RESOLVUSDT,22.023245162029028,40.357135753356545,0.45662100456620736,-7.762557077625572,0,0,1,0
RESOLVUSDT,25.01256281407032,21.34789579158316,0.48780487804877753,-7.317073170731714,0,0,1,0
RESOLVUSDT,15.0,30.16679128544467,2.5252525252525095,-5.050505050505055,0,0,1,0
SATSUSDT,29.199741525855256,20.252836432398333,0.2863349131121623,-6.9411532385466,0,0,1,0
SATSUSDT,21.0,44.294181201736215,2.252061746669486,-1.5225206174666897,0,0,0,0
SATSUSDT,20.0,32.591594408075,1.690871369294601,-2.500000000000003,0,0,0,0
SATSUSDT,34.0,26.67179182196822,3.2679738562091587,-2.4667931688804448,0,0,0,0
SATSUSDT,19.583829198715097,24.036859416445637,2.0037182400330504,-1.5802520140466823,0,0,0,0
SATSUSDT,45.0,27.260387510446307,1.5808632345293843,-2.132085283411345,0,0,0,0
SATSUSDT,46.863792413563516,13.0,0.12455885405854653,-4.712476645214867,0,0,0,0
SATSUSDT,62.61035501121529,13.0,1.24865446716899,-1.5500538213132524,0,0,0,0
SATSUSDT,61.02647028530229,13.0,1.0543302850995189,-0.8714362560516321,0,0,0,0
SATSUSDT,8.0,48.33148730842156,1.304673296973579,-0.9517698641856486,0,0,0,0
SATSUSDT,18.0,40.643411776550124,4.108716424248864,-0.6900944898609116,0,0,0,0
SATSUSDT,21.837498615543943,15.718718381113014,1.3052936910804822,-2.2687247487827635,0,0,0,0
SATSUSDT,17.0,30.24211380236381,1.316064340923323,-1.2011698349697066,0,0,0,0
