symbol,ts,label,composite,sub_scores
TLMUSDT,2026-04-22 12:00:00+00:00,0,45.677573365567675,"{'technical': 48.38636060560407, 'momentum': 0, 'volume': 27.3, 'vwap': 0, 'atr_bb': 57.675789733380554, 'structure': 50.0, 'candle': 48.301985370950874, 'mtf': 26.843070988444538, 'pattern': 50.0}"
TLMUSDT,2026-04-22 20:00:00+00:00,0,40.86292661244616,"{'technical': 44.129766765998376, 'momentum': 0, 'volume': 33.6, 'vwap': 0, 'atr_bb': 56.83919979333807, 'structure': 50.0, 'candle': 43.6166096448356, 'mtf': 22.118990774457387, 'pattern': 50.0}"
SATSUSDT,2026-04-22 20:00:00+00:00,0,42.956817959805484,"{'technical': 45.59451234763093, 'momentum': 0, 'volume': 33.2, 'vwap': 0, 'atr_bb': 100, 'structure': 50.0, 'candle': 44.398662041360346, 'mtf': 21.90030867127895, 'pattern': 50.0}"
SOLUSDT,2026-04-22 20:00:00+00:00,0,50.018527392191835,"{'technical': 52.77862326093424, 'momentum': 0, 'volume': 24.9, 'vwap': 0.7915109683058825, 'atr_bb': 31.379412442030077, 'structure': 50.0, 'candle': 27.157560480279418, 'mtf': 48.02940122307748, 'pattern': 50.0}"
DOTUSDT,2026-04-22 20:00:00+00:00,0,45.07691956586138,"{'technical': 47.24542890891255, 'momentum': 0, 'volume': 29.049999999999997, 'vwap': 0, 'atr_bb': 38.04335244937006, 'structure': 60.0, 'candle': 43.62373737373753, 'mtf': 24.291899156300012, 'pattern': 50.0}"
OPNUSDT,2026-04-22 20:00:00+00:00,0,48.2168104763994,"{'technical': 62.410642915767575, 'momentum': 4.612756264236899, 'volume': 39.900000000000006, 'vwap': 9.78220272545813, 'atr_bb': 84.33212307867352, 'structure': 50.0, 'candle': 34.42618370249947, 'mtf': 54.00645718072401, 'pattern': 50.0}"
BTCUSDT,2026-04-22 20:00:00+00:00,0,53.67336348866548,"{'technical': 60.72057455222546, 'momentum': 0, 'volume': 31.75, 'vwap': 2.2436214833397075, 'atr_bb': 25.562300303627655, 'structure': 50.0, 'candle': 55.419684845651574, 'mtf': 50.25166213563125, 'pattern': 50.0}"
HYPERUSDT,2026-04-22 20:00:00+00:00,0,54.18921306944712,"{'technical': 53.37041062865257, 'momentum': 2.1943573667711647, 'volume': 41.15, 'vwap': 2.242533888531624, 'atr_bb': 48.13196685440016, 'structure': 50.0, 'candle': 61.171455844113034, 'mtf': 57.85136507581089, 'pattern': 50.0}"
ETHUSDT,2026-04-22 20:00:00+00:00,0,52.78667447337894,"{'technical': 56.83528473581614, 'momentum': 0, 'volume': 34.25, 'vwap': 1.6554682573133555, 'atr_bb': 31.333741559343643, 'structure': 50.0, 'candle': 32.80750441652312, 'mtf': 49.7742827217804, 'pattern': 50.0}"
ADAUSDT,2026-04-22 20:00:00+00:00,0,51.5405189028041,"{'technical': 46.70730541750656, 'momentum': 0, 'volume': 40.400000000000006, 'vwap': 0, 'atr_bb': 34.755000453782536, 'structure': 60.0, 'candle': 43.181818181818244, 'mtf': 23.248530677748136, 'pattern': 50.0}"
