symbol,idx,price,fwd_4h,fwd_12h,mtf_mom_5m,mtf_mom_15m,mtf_mom_1h,mtf_mom_4h,mtf_alignment,mtf_mom_divergence,mtf_mom_avg,mtf_vol_rvol_5m,mtf_vol_rvol_15m,mtf_vol_rvol_1h,mtf_vol_rvol_4h,mtf_vol_surge,mtf_atr_5m,mtf_atr_15m,mtf_atr_1h,mtf_atr_4h,mtf_vol_compression,mtf_bb_width_5m,mtf_bb_width_15m,mtf_bb_width_1h,mtf_bb_width_4h,mtf_bb_breakout_5m,mtf_bb_breakout_15m,mtf_bb_breakout_1h,mtf_bb_breakout_4h,mtf_bb_breakout_aligned,mtf_rsi_5m,mtf_rsi_15m,mtf_rsi_1h,mtf_rsi_4h,mtf_rsi_all_oversold,mtf_rsi_all_overbought,mtf_composite_score
EPICUSDT,68,0.677,-21.418020679468246,-42.9837518463811,0.4973474801061013,0.2643754130865905,-3.1420765027322433,-1.8840579710144787,0,2.38140545112058,-1.0661028951385076,0.5024451160744117,0.1378734165556224,0.6223506676301062,0.7384977158651541,0,0.6083540318057344,1.1788854516494958,4.758239620527248,6.653839145675258,0.09142902593326761,1.5126919783176642,1.9318306340870017,20.381418056887668,70.42983767867526,0,0,0,0,0,57.48578380859678,54.80540936809077,62.27718264678201,68.67613309187965,0,0,55.0
EPICUSDT,69,0.532,-18.421052631578952,-28.947368421052634,0.4973474801061013,0.2643754130865905,-13.77331420373027,-27.322404371584696,0,27.819751851690796,-10.083498920530568,0.5024451160744117,0.1378734165556224,1.1831915556079895,1.4127467226070176,0,0.6083540318057344,1.1788854516494958,5.96391469918992,9.90338860379806,0.06142887612957285,1.5126919783176642,1.9318306340870017,22.522324505095355,68.41066189948938,0,0,0,0,0,57.48578380859678,54.80540936809077,36.5705344651432,47.18482154675305,0,0,55.0
EPICUSDT,70,0.434,-8.75576036866359,-2.7649769585253483,0.4973474801061013,0.2643754130865905,-24.73498233215547,-40.30261348005502,0,40.79996096016112,-16.06896822975445,0.5024451160744117,0.1378734165556224,3.4185158157982456,2.4339407818873826,0,0.6083540318057344,1.1788854516494958,9.684000260177534,13.263962406824783,0.0458651806410967,1.5126919783176642,1.9318306340870017,51.4475652842766,69.37301518622976,0,0,0,0,0,57.48578380859678,54.80540936809077,19.38811470959058,38.431265304756295,0,0,55.0
EPICUSDT,71,0.396,-2.5252525252525273,-14.898989898989898,0.4973474801061013,0.2643754130865905,2.540415704387993,-41.506646971935005,0,42.003994452041105,-9.55112709358858,0.5024451160744117,0.1378734165556224,1.1429651242857417,2.169569635532584,0,0.6083540318057344,1.1788854516494958,8.26054058214157,14.92339031372753,0.04076513573769693,1.5126919783176642,1.9318306340870017,78.76101910332217,73.75079852828952,0,0,0,0,0,57.48578380859678,54.80540936809077,25.21058644434993,35.668114630560225,0,0,55.0
EPICUSDT,72,0.386,-2.072538860103629,-5.958549222797933,0.4973474801061013,0.2643754130865905,4.4270833333333375,-27.44360902255639,0,27.94095650266249,-5.56370069900759,0.5024451160744117,0.1378734165556224,0.7182155001872317,1.4648246936638054,0,0.6083540318057344,1.1788854516494958,9.214359263203539,14.99363681255909,0.04057414751410812,1.5126919783176642,1.9318306340870017,94.866719528202,78.09837332758127,0,0,0,0,0,57.48578380859678,54.80540936809077,25.675463826366936,34.955850869144996,0,0,55.0
EPICUSDT,73,0.378,11.640211640211636,1.322751322751324,0.4973474801061013,0.2643754130865905,0.5089058524173032,-12.903225806451612,0,13.400573286557714,-2.908149265210404,0.5024451160744117,0.1378734165556224,1.1125219288609636,1.3897814610512993,0,0.6083540318057344,1.1788854516494958,8.429880039531184,15.067662419769748,0.04037481162356907,1.5126919783176642,1.9318306340870017,87.17900653657603,82.4197003060384,0,0,0,0,0,57.48578380859678,54.80540936809077,29.766247832527384,34.36463363722059,0,0,55.0
EPICUSDT,74,0.422,-20.14218009478672,-8.530805687203786,0.4973474801061013,0.2643754130865905,-3.299492385786805,6.565656565656557,0,-6.068309085550456,1.006971768265611,0.5024451160744117,0.1378734165556224,1.4829374909357862,2.1018025461081473,0,0.6083540318057344,1.1788854516494958,8.767897214235894,14.445242574601988,0.04211449054343738,1.5126919783176642,1.9318306340870017,50.00610764936879,84.05349569415014,0,0,0,0,0,57.48578380859678,54.80540936809077,29.116838290819658,40.341166803781356,0,0,55.0
EPICUSDT,75,0.337,7.71513353115726,20.77151335311571,0.4973474801061013,0.2643754130865905,9.383378016085784,-12.694300518134712,0,13.191647998240814,-0.6372999022140591,0.5024451160744117,0.1378734165556224,1.06601332987783,2.3789980723893636,0,0.6083540318057344,1.1788854516494958,8.73507480798037,19.446079008958563,0.03128414892922493,1.5126919783176642,1.9318306340870017,22.34054940172351,90.69091849846114,0,0,0,0,0,57.48578380859678,54.80540936809077,40.61966981035912,33.91621676257736,0,0,55.0
EPICUSDT,76,0.363,5.509641873278242,34.98622589531681,0.4973474801061013,0.2643754130865905,6.8656716417910335,-3.9682539682539715,0,4.465601448360073,0.9147851416824385,0.5024451160744117,0.1378734165556224,0.5806612324606025,0.9916026457833054,0,0.6083540318057344,1.1788854516494958,10.20469593158757,17.629530133460737,0.034507671344631154,1.5126919783176642,1.9318306340870017,25.625632787877763,95.37101261831631,0,0,0,0,0,57.48578380859678,54.80540936809077,36.38217835810705,37.2104026580522,0,0,55.0
EPICUSDT,77,0.383,0.7832898172323766,-10.443864229765008,0.4973474801061013,0.2643754130865905,1.3888888888888902,-9.241706161137436,0,9.739053641243538,-1.7727735947639636,0.5024451160744117,0.1378734165556224,0.47176722501215146,0.8569402001759587,0,0.6083540318057344,1.1788854516494958,8.620192695091514,16.485220570645506,0.03690299618368487,1.5126919783176642,1.9318306340870017,26.318787365977087,98.52583254917428,0,0,0,0,0,57.48578380859678,54.80540936809077,39.10659362104973,39.700455524758915,0,0,55.0
EPICUSDT,78,0.386,5.440414507772011,-9.32642487046633,0.4973474801061013,0.2643754130865905,0.5194805194805199,14.540059347181005,1,-14.042711867074903,3.9553156899635544,0.5024451160744117,0.1378734165556224,0.36159120580226584,0.3695420534357664,0,0.6083540318057344,1.1788854516494958,7.165738913496806,15.57733405278386,0.03905379635207953,1.5126919783176642,1.9318306340870017,25.934945189468962,101.97979219202706,0,0,0,0,0,57.48578380859678,54.80540936809077,45.51469056508417,40.08428432927565,0,0,75.0
