feature,pearson,top_wr,bot_wr,wr_diff,score
ex_ex_psar_above,-0.062052304773167186,0.1656387665198238,0.2143646408839779,-0.048725874364154126,0.05405644652775935
ex_ex_psar_below,0.062052304773167186,0.2143646408839779,0.1656387665198238,0.048725874364154126,0.05405644652775935
ind_rvol_score,0.06710992376105256,0.22549019607843138,0.1803921568627451,0.04509803921568628,0.05390279303383279
ex_ex_obv_score,-0.060938979091436654,0.16375968992248063,0.2113095238095238,-0.047549833887043175,0.052905491968800566
ex_ex_psar_bullish_trend,0.060003453372932315,0.21349557522123894,0.16637323943661972,0.04712233578461922,0.05227478281994446
ex_ex_psar_score,0.060003453372932274,0.21349557522123894,0.16637323943661972,0.04712233578461922,0.05227478281994444
ex_ex_force_norm,0.07642831690967525,0.24705882352941178,0.21568627450980393,0.03137254901960784,0.049394856175634806
ind_atr_score,0.1001281219934425,0.18725490196078431,0.17736045905059988,0.009894442910184431,0.04598791454348766
ind_atr_expanding,0.10012812199344176,0.18725490196078431,0.17736045905059988,0.009894442910184431,0.045987914543487364
ind_sustained,0.050363590536361726,0.21243523316062177,0.1719242902208202,0.040510942939801564,0.04445200197842562
ex_ex_mass_reversal,0.09105626451009549,0.18725490196078431,0.17554347826086958,0.011711423699914736,0.04344936002398704
tech_macd_hist,0.0454158307129387,0.21568627450980393,0.17450980392156862,0.041176470588235314,0.04287221463811667
ex_ex_ad_slope_norm,-0.05151636127836711,0.16666666666666666,0.2019607843137255,-0.03529411764705884,0.04178301509958214
ex_ex_stochrsi_crossover,-0.04805814521895788,0.167192429022082,0.20477502295684114,-0.03758259393475913,0.04177281444843863
ex_ex_mass_score,0.08681109707442305,0.18725490196078431,0.17574396406513196,0.011510937895652357,0.04163100156716064
ind_atr,0.08192008022835985,0.2372549019607843,0.2235294117647059,0.01372549019607841,0.041003326208990984
ex_ex_aroon_up,0.033699130275293664,0.22545454545454546,0.18045112781954886,0.0450034176349966,0.04048170269111542
ind_rvol,0.03450734828967957,0.2237354085603113,0.18003913894324852,0.04369626961706277,0.040020701086109486
ex_ex_obv_norm,0.03339935825633319,0.19019607843137254,0.14901960784313725,0.04117647058823529,0.038065625655474444
ex_ex_eom,0.04888474451506313,0.18823529411764706,0.1588235294117647,0.02941176470588236,0.037200956629554666
ind_volume_spike,0.07824704738343366,0.18725490196078431,0.1790966386554622,0.008158263305322128,0.03619377693656674
ex_ex_ad_norm,-0.011572777911255331,0.13529411764705881,0.18627450980392157,-0.05098039215686276,0.035217346458619785
ex_ex_ad_score,-0.03888957083734789,0.16775032509752927,0.1990558615263572,-0.03130553642882794,0.03433915019223592
tech_pattern_score,-0.03463487946309314,0.16567164179104477,0.19962335216572505,-0.03395171037468028,0.034224978010045426
ex_ex_kst_signal,0.04935700956834222,0.22156862745098038,0.24509803921568626,-0.023529411764705882,0.033860450886160416
ex_ex_kst,0.07223387094630748,0.22941176470588234,0.2372549019607843,-0.00784313725490196,0.033599430731464174
ind_volume_continuity,0.043470971053684894,0.21243523316062177,0.18711656441717792,0.02531866874344385,0.032579589667540265
ind_momentum_12_pct,0.06232886181169411,0.24313725490196078,0.23137254901960785,0.011764705882352927,0.0319903682540894
ex_ex_roc,0.06232886181169411,0.24313725490196078,0.23137254901960785,0.011764705882352927,0.0319903682540894
struct_bos_down,0.06105210786658175,0.18725490196078431,0.1776765375854214,0.009578364375362913,0.030167861771850452
ex_ex_supertrend_distance_pct,0.07510650253643461,0.25882352941176473,0.25882352941176473,0.0,0.030042601014573844
ex_ex_minus_di,-0.03680412405197012,0.18823529411764706,0.21372549019607842,-0.025490196078431365,0.03001576726784687
ex_ex_adx_weak,-0.033646164175252874,0.17018469656992086,0.19734789391575663,-0.027163197345835777,0.029756384077602616
ex_ex_vpt_score,0.03367502050433667,0.199812382739212,0.1735112936344969,0.026301089104715097,0.029250661664563728
ex_ex_aroon_crossover,-0.03323208598937659,0.17547000895255147,0.20151679306608883,-0.026046784113537363,0.028920904863873054
struct_structure_score,0.015104664362325314,0.17777777777777778,0.21568627450980393,-0.03790849673202615,0.028786963784145813
ex_ex_kc_breakout_above,0.05214637844494555,0.18725490196078431,0.17708333333333334,0.010171568627450972,0.026961492554448803
ex_ex_kc_breakout_below,0.05073797469527453,0.18725490196078431,0.176875,0.01037990196078431,0.026523131054580398
ind_vwap_score,-0.01776152511961494,0.21764705882352942,0.24901960784313726,-0.03137254901960784,0.02592813945961068
ex_ex_roc_positive,0.029688324054266663,0.19938335046248715,0.17619493908153702,0.023188411380950125,0.02578837645027674
struct_bos_up,0.051729502038673644,0.18725490196078431,0.1787773933102653,0.008477508650519022,0.025778306005780873
ind_momentum_6_pct,0.039055449466818,0.2235294117647059,0.23921568627450981,-0.01568627450980392,0.025033944492609553
tech_macd_signal,-0.018131367092406155,0.18823529411764706,0.21764705882352942,-0.02941176470588236,0.024899605660491878
tech_rsi_score,0.041520606263032445,0.1798298906439854,0.1662387676508344,0.013591122993151017,0.02476291630110359
ind_momentum_1_pct,0.008645561823921554,0.21568627450980393,0.25098039215686274,-0.03529411764705881,0.024634695317803906
ex_ex_trix,0.05126164269492547,0.2372549019607843,0.24313725490196078,-0.0058823529411764774,0.024034068842676073
struct_lower_lows,-0.04525687272359782,0.18725490196078431,0.1957703927492447,-0.008515490788460395,0.023212043562515362
ex_ex_vortex_score,0.026555454681419403,0.20147679324894516,0.18078512396694216,0.020691669282003,0.02303718344176956
ex_ex_mfi,0.036942621357907234,0.2019607843137255,0.18823529411764706,0.013725490196078438,0.023012342660809957
ex_ex_vpt_norm,0.02725142717040389,0.24313725490196078,0.2235294117647059,0.019607843137254888,0.02266527675051449
ex_ex_cci_overbought,0.04335474669106317,0.18725490196078431,0.1789409616555082,0.008313940305276102,0.02233026285959093
candle_bullish_close,-0.023818948934226904,0.17446808510638298,0.1940074906367041,-0.01953940553032113,0.021251222891883442
ex_ex_mfi_overbought,0.04706318369202777,0.18725490196078431,0.18326488706365504,0.003990014897129274,0.02121928241508867
ind_vwap_distance_pct,0.005853957232642892,0.21764705882352942,0.24901960784313726,-0.03137254901960784,0.021165112304821862
ex_ex_supertrend_score,0.023711096654381047,0.19662363455809334,0.1781219748305905,0.01850165972750284,0.020585434498254125
ex_ex_supertrend_bullish,0.023711096654380582,0.19662363455809334,0.1781219748305905,0.01850165972750284,0.020585434498253938
ex_ex_force_score,0.022342487889441195,0.1956521739130435,0.17820773930753564,0.017444434605507847,0.019403655919081185
