signal_id,ts_entry,symbol,direction,entry_price,tp_price,sl_price,initial_sl_price,tp_pct,sl_pct,max_hold_hours,trailing_pct,use_trailing,use_scaled,tp1_price,tp1_hit,score_long,score_short,confidence,n_long_signals,n_short_signals,f_momentum_3_pct,f_momentum_6_pct,f_rvol,f_atr_pct,f_a_ichi_above_cloud,f_a_ichi_below_cloud,f_a_fib_dist_0.618,f_a_fib_distance_pct,f_volume_spike,f_m_5m_volume_spike,btc_state,btc_momentum_12_pct,market_regime,status,current_price,current_pct,highest_pct,lowest_pct,current_trailing_sl,ts_last_check,ts_exit,exit_price,exit_pct,exit_reason,num_checks,size_remaining,partial_pnl,m_obi_10_at_entry,m_cvd_at_entry,m_5m_rvol_at_entry,m_spread_pct_at_entry,position_size,entry_mode
EPICUSDT_LONG_1785099250,2026-07-26T20:54:10.315943+00:00,EPICUSDT,LONG,0.753,0.94125,0.723633,0.723633,25.0,3.9,12.0,6.0,1,0,0.77559,0,42.5,0.0,85.0,1,0,-1.6714546879080745,2.518720217835257,0.5199294522475952,5.800607095427812,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.753,0.0,0.0,0.0,0.723633,2026-07-26T20:54:10.315961+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
VOOIUSDT_LONG_1785099250,2026-07-26T20:54:10.325285+00:00,VOOIUSDT,LONG,0.007962,0.0099525,0.00765148,0.00765148,25.0,3.9,12.0,6.0,1,0,0.00820086,0,37.5,0.0,75.0,1,0,-0.1003764115432788,-0.4376641240465213,0.5687264765800439,1.155488570710876,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.007962,0.0,0.0,0.0,0.00765148,2026-07-26T20:54:10.325302+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
BREVUSDT_LONG_1785099250,2026-07-26T20:54:10.334634+00:00,BREVUSDT,LONG,0.0758,0.09475,0.0728438,0.0728438,25.0,3.9,12.0,6.0,1,0,0.078074,0,33.5,0.0,67.0,1,0,1.0666666666666789,1.4725568942436462,0.2357956528954004,0.7444402563136076,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.0758,0.0,0.0,0.0,0.0728438,2026-07-26T20:54:10.334653+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
TRUMPUSDT_LONG_1785099250,2026-07-26T20:54:10.344171+00:00,TRUMPUSDT,LONG,1.59,1.9875,1.52799,1.52799,25.0,3.9,12.0,6.0,1,0,1.6377,0,42.5,0.0,85.0,1,0,0.4421983575489651,1.080737444373816,0.9368792718740864,0.6873315363881393,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,1.59,0.0,0.0,0.0,1.52799,2026-07-26T20:54:10.344189+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
SENTUSDT_LONG_1785099250,2026-07-26T20:54:10.353838+00:00,SENTUSDT,LONG,0.01265,0.0158125,0.01215665,0.01215665,25.0,3.9,12.0,6.0,1,0,0.0130295,0,33.5,0.0,67.0,1,0,-0.07898894154818,-0.2365930599369125,0.0099179974340271,0.7171089779785444,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.01265,0.0,0.0,0.0,0.01215665,2026-07-26T20:54:10.353855+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
DNUSDT_LONG_1785099250,2026-07-26T20:54:10.363321+00:00,DNUSDT,LONG,0.04238,0.052975,0.04072718,0.04072718,25.0,3.9,12.0,6.0,1,0,0.0436514,0,42.5,0.0,85.0,1,0,0.4503436833372901,0.3314393939393968,0.9388141965089216,3.492213308164228,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.04238,0.0,0.0,0.0,0.04072718,2026-07-26T20:54:10.363339+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
OXTUSDT_LONG_1785099250,2026-07-26T20:54:10.372782+00:00,OXTUSDT,LONG,0.014419,0.01802375,0.01385666,0.01385666,25.0,3.9,12.0,6.0,1,0,0.01485157,0,32.49156668284901,0.0,64.98313336569802,1,0,-0.0069348127600624,0.0624566273421258,0.0582484969369768,4.68330476652829,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.014419,0.0,0.0,0.0,0.01385666,2026-07-26T20:54:10.372801+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
CHECKUSDT_LONG_1785099250,2026-07-26T20:54:10.382144+00:00,CHECKUSDT,LONG,0.02721,0.0340125,0.02614881,0.02614881,25.0,3.9,12.0,6.0,1,0,0.0280263,0,27.500000000000004,0.0,55.00000000000001,1,0,-0.8743169398907001,-4.526315789473682,0.1105881154979857,1.336168425473829,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.02721,0.0,0.0,0.0,0.02614881,2026-07-26T20:54:10.382162+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
PIEVERSEUSDT_LONG_1785099250,2026-07-26T20:54:10.391620+00:00,PIEVERSEUSDT,LONG,0.7315,0.914375,0.7029715,0.7029715,25.0,3.9,12.0,6.0,1,0,0.753445,0,35.0,0.0,70.0,1,0,5.055292259083729,-0.9076131129775032,0.1770830196229015,6.665364710477493,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.7315,0.0,0.0,0.0,0.7029715,2026-07-26T20:54:10.391638+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
TUTUSDT_LONG_1785099250,2026-07-26T20:54:10.401231+00:00,TUTUSDT,LONG,0.01609,0.0201125,0.01546249,0.01546249,25.0,3.9,12.0,6.0,1,0,0.0165727,0,37.5,0.0,75.0,1,0,1.964512040557676,1.706700379266747,0.8039705066963491,1.5404421557311567,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.01609,0.0,0.0,0.0,0.01546249,2026-07-26T20:54:10.401250+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
