symbol,label,score,peak,dd,rvol_1h,m6,rsi_1h,btc_corr_2d,btc_corr_4d,independent_mover,prefilter_score,rsi_value,rsi_divergence,macd_hist,macd_divergence,ema_alignment,rvol,volume_spike,vwap_distance_pct,price_above_vwap,atr_pct,atr_expanding,bb_squeeze,bb_breakout_above,momentum_1_pct,momentum_3_pct,momentum_6_pct,momentum_12_pct,momentum_acceleration,higher_highs,higher_lows,bos_up,in_range,candle_strength,big_wick_top,power_streak,mtf_alignment,btc_state,btc_momentum_12_pct
TLMUSDT,0,7.81,1.74,-4.82,0.11,0.68,39.3,0.0,0.0,False,75.0,39.29836486782159,0.0,-5.717931807946842e-07,0.0,-1.0,0.114,0.0,-2.060822747228302,0.0,1.9021056682794006,0.0,0.0,0.0,-0.561167227833896,0.45351473922902363,0.6818181818181737,-4.525862068965522,0.22624201195630317,0.0,0.0,0.0,0.0,0.5648148148148143,0.0,0.0,0.5,1.0,2.1746816645075655
TLMUSDT,0,7.81,2.26,-4.39,0.11,0.68,39.3,0.0,0.0,False,55.0,39.29836486782159,0.0,-5.717931807946842e-07,0.0,-1.0,0.114,0.0,-2.060822747228302,0.0,1.9021056682794006,0.0,0.0,0.0,-0.561167227833896,0.45351473922902363,0.6818181818181737,-4.525862068965522,0.22624201195630317,0.0,0.0,0.0,0.0,0.5648148148148143,0.0,0.0,0.5,1.0,2.1746816645075655
TLMUSDT,0,33.2,0.57,-3.64,0.38,1.13,49.5,0.0,0.0,False,50.0,49.509059370216406,1.0,2.9982430108564133e-06,1.0,0.0,0.376,0.0,1.2506301607248689,1.0,1.9087222981107437,0.0,0.0,0.0,2.1615472127417554,1.0123734533183355,1.126126126126129,1.5837104072398207,0.8997608407057202,0.0,0.0,0.0,0.0,0.584045584045584,0.0,1.0,0.5,1.0,2.1746816645075655
TLMUSDT,0,47.0,1.6,-2.6,0.9,0.89,53.6,0.0,0.0,False,45.0,53.564489943980355,0.0,4.139403569874024e-06,0.0,0.0,0.901,0.0,2.5813741660363134,1.0,1.828658018436163,0.0,1.0,0.0,0.11061946902655136,2.724177071509653,0.8918617614269764,5.355064027939468,4.507900594363617,0.0,0.0,0.0,0.0,0.5184387684387681,0.0,0.0,0.5,1.0,2.1746816645075655
TLMUSDT,0,41.0,7.59,-3.19,0.72,3.98,56.9,0.0,0.0,False,60.0,56.85634547714735,0.0,5.201146287567635e-06,0.0,0.0,0.725,0.0,3.091418970900696,1.0,1.795673316604066,0.0,1.0,0.0,0.7717750826901822,1.1061946902654896,3.9817974971558567,4.457142857142854,-1.7379463791315475,0.0,0.0,0.0,0.0,0.3595130359836254,1.0,0.0,0.5,1.0,2.1746816645075655
GROVEUSDT,0,29.0,1.57,-0.28,1.66,1.83,45.8,0.0,0.0,False,50.0,45.762743930490046,0.0,0.00012048112198122528,0.0,0.0,1.663,0.0,-0.001120131872734627,0.0,3.3239410973771992,0.0,1.0,0.0,-0.2631348127357294,0.623866200610587,1.8268111399659652,-1.065819811197643,-0.5716205012789083,0.0,1.0,0.0,0.0,0.4864268880257074,0.0,0.0,0.5,1.0,2.1746816645075655
GROVEUSDT,0,28.0,0.94,-2.52,0.92,1.91,46.5,0.0,0.0,False,60.0,46.540220190639744,0.0,0.0001229714132194317,0.0,0.0,0.915,0.0,0.2596401413323366,1.0,3.1341843599614263,0.0,1.0,0.0,0.2375610399894351,-0.07455486360845388,1.9052730444116432,-0.45871559633027925,-2.055859930919152,0.0,1.0,0.0,0.0,0.34596653809906724,1.0,0.0,0.5,1.0,2.1746816645075655
GROVEUSDT,0,28.0,0.95,-2.52,0.92,1.91,46.5,0.0,0.0,False,50.0,46.540220190639744,0.0,0.0001229714132194317,0.0,0.0,0.915,0.0,0.2596401413323366,1.0,3.1341843599614263,0.0,1.0,0.0,0.2375610399894351,-0.07455486360845388,1.9052730444116432,-0.45871559633027925,-2.055859930919152,0.0,1.0,0.0,0.0,0.34596653809906724,1.0,0.0,0.5,1.0,2.1746816645075655
GROVEUSDT,0,33.0,0.67,-2.78,0.26,8.8,66.9,0.0,0.0,False,50.0,66.87752732238548,0.0,0.0002363133391064431,0.0,0.0,0.256,0.0,8.194487174981086,1.0,3.2663134791796153,0.0,1.0,1.0,7.921878428790875,8.125934394512367,8.800495553294107,8.574708583539381,7.5020681939017795,0.0,1.0,0.0,0.0,0.5424515862822291,0.0,1.0,0.5,1.0,2.1746816645075655
GROVEUSDT,0,33.0,0.81,-2.65,0.26,8.8,66.9,0.0,0.0,False,50.0,66.87752732238548,0.0,0.0002363133391064431,0.0,0.0,0.256,0.0,8.194487174981086,1.0,3.2663134791796153,0.0,1.0,1.0,7.921878428790875,8.125934394512367,8.800495553294107,8.574708583539381,7.5020681939017795,0.0,1.0,0.0,0.0,0.5424515862822291,0.0,1.0,0.5,1.0,2.1746816645075655
GROVEUSDT,0,26.0,0.43,-2.73,0.3,4.86,55.5,0.0,0.0,False,60.0,55.48112882639602,0.0,0.00024029066568981603,0.0,0.0,0.298,0.0,4.176879992774515,1.0,3.7408921556420505,0.0,1.0,0.0,-3.6803578690524583,4.196911706480138,4.8612033470580505,3.9864775870395692,3.55937684129219,0.0,1.0,0.0,0.0,0.5914465611566018,0.0,0.0,0.5,1.0,2.1746816645075655
GROVEUSDT,0,34.0,0.42,-1.81,0.42,0.95,45.5,0.0,0.0,False,55.0,45.480938918857376,0.0,1.1323319734217767e-05,1.0,0.0,0.416,0.0,-1.2522833374599105,0.0,2.6573181579701894,0.0,1.0,0.0,2.291396454820588,0.15050324522622885,0.9481369109699384,-1.059381098410924,-0.6459317599885148,0.0,0.0,0.0,0.0,0.5398554434985678,0.0,0.0,0.5,1.0,2.1746816645075655
GROVEUSDT,0,34.0,3.6,-2.22,0.42,0.95,45.5,0.0,0.0,False,65.0,45.480938918857376,0.0,1.1323319734217767e-05,1.0,0.0,0.416,0.0,-1.2522833374599105,0.0,2.6573181579701894,0.0,1.0,0.0,2.291396454820588,0.15050324522622885,0.9481369109699384,-1.059381098410924,-0.6459317599885148,0.0,0.0,0.0,0.0,0.5398554434985678,0.0,0.0,0.5,1.0,2.1746816645075655
GROVEUSDT,0,33.0,2.52,-17.81,1.01,-0.69,24.1,-0.19099718143844926,-0.14121318517515274,False,45.0,24.139141220854796,0.0,-0.00011185132424087454,0.0,0.0,1.012,0.0,-7.982060606452297,0.0,2.6188995666670607,0.0,0.0,0.0,0.9848484848484841,1.3302926643861546,-0.6891413671074686,-12.513673156858465,3.3232149962915276,0.0,0.0,0.0,0.0,0.512366339302528,0.0,1.0,0.5,1.0,2.1746816645075655
OPNUSDT,0,59.0,2.58,-0.48,0.76,0.81,50.0,0.0,0.0,False,45.0,50.0,0.0,0.0,0.0,0.0,0.76,0.0,1.3364736607716459,1.0,3.1928643048835066,0.0,1.0,0.0,4.748603351955308,6.382978723404261,0.8064516129032303,0.0,11.624914207275232,0.0,0.0,0.0,0.0,0.6936090225563911,0.0,1.0,0.5,1.0,2.1746816645075655
OPNUSDT,1,37.0,11.74,-0.94,0.88,1.87,50.0,0.0,0.0,False,65.0,50.0,0.0,0.0,0.0,0.0,0.875,0.0,2.735722193809458,1.0,2.9632235930368696,0.0,1.0,0.0,0.9247027741083121,0.13106159895149277,1.8666666666666647,2.688172043010755,-1.6022717343818533,0.0,0.0,0.0,0.0,0.5000000000000004,0.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,1,56.0,12.26,-0.16,0.76,2.41,50.0,0.0,0.0,False,55.0,50.0,0.0,0.0,0.0,0.0,0.757,0.0,2.7918425114868963,1.0,2.832001561721959,0.0,1.0,0.0,0.1308900523560247,2.0000000000000018,2.409638554216862,5.082417582417575,1.5983935742971975,0.0,0.0,0.0,0.0,0.4651416122004361,1.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,1,56.0,12.09,-0.16,0.76,2.41,50.0,0.0,0.0,False,55.0,50.0,0.0,0.0,0.0,0.0,0.757,0.0,2.7918425114868963,1.0,2.832001561721959,0.0,1.0,0.0,0.1308900523560247,2.0000000000000018,2.409638554216862,5.082417582417575,1.5983935742971975,0.0,0.0,0.0,0.0,0.4651416122004361,1.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,0,30.0,3.6,-7.75,0.76,-4.63,50.0,0.0,0.0,False,45.0,50.0,0.0,0.0,0.0,0.0,0.76,0.0,-1.4030476969205252,0.0,2.8459159175779356,0.0,1.0,0.0,-0.6693440428380193,-0.8021390374331595,-4.627249357326468,-1.9815059445178351,3.053902093672225,1.0,0.0,0.0,0.0,0.3444444444444432,1.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,0,54.0,2.88,-8.38,1.33,0.79,50.0,0.0,0.0,False,45.0,50.0,0.0,0.0,0.0,0.0,1.326,0.0,0.9916037073883197,1.0,2.760752244184174,0.0,1.0,0.0,2.6954177897574145,1.7356475300400662,0.7936507936507979,-0.2617801047120312,2.6615734559660003,1.0,0.0,0.0,0.0,0.5777777777777784,0.0,1.0,0.5,1.0,2.1746816645075655
OPNUSDT,0,37.78,0.59,-6.75,0.55,3.91,50.0,0.0,0.0,False,45.0,50.0,0.0,0.0,0.0,0.0,0.547,0.0,1.5391629912664,1.0,2.6257958645932407,0.0,1.0,0.0,0.3906250000000112,1.9841269841269857,3.9083557951482475,-0.8997429305912498,0.09733453129679925,1.0,0.0,0.0,0.0,0.3595679012345677,0.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,0,45.14,0.59,-6.75,0.79,1.84,58.1,0.0,0.0,False,55.0,58.062294645702025,0.0,0.00021421461437643068,0.0,0.0,0.788,0.0,2.0821144210118656,1.0,2.5237805551194823,0.0,1.0,0.0,0.6485084306095985,1.17340286831812,1.837270341207347,2.645502645502648,0.5172348893154948,1.0,0.0,0.0,0.0,0.3472222222222217,1.0,0.0,0.5,1.0,2.1746816645075655
